cleaned_text,cluster,attribute
enable etcd security setting enable etcd security setting add etcd client server certificate generation process ansible playbook restart etcd etcd security config enabled test status deployment test simplex duplex pass check communication status apiserver etcd kubectl command check etcd status configuration controllers switch active controller pass switching check communication status apiserver etcd kubectl command check etcd status configuration controllers lock unlock simplex controller pass backup restore test simplex pass spontaneous reboot simplex controller pass enable secured etcd simplex script deploy unsecured etcd pass backup test duplex pass restore test duplex pass installing controller host duplex setup swacting pass partial bug depends https review opendev org c change id ibcaccefbdad signed zhipeng liu zhipengs liu intel com,7,documentation
add new debian security mirror suite pattern add new debian security mirror suite pattern starting debian bullseye security packages bullseye security opposed older releases like buster updates list last several stable releases hopes nobody trying use role configure platforms older debian jessie current oldoldstable followup change demonstrates works test base roles job job matrices updated one fell swoop many jobs work without change already merged due protected use base job tested directly within change change id ibceafcfaade,7,documentation
fix rule replacement security policy fix rule replacement security policy change id iadeadabcceecc,4,documentation
ovs add pod security context pods ovs add pod security context pods ps adds pod security context snippet pods change id iedfeecdccfdcf signed pete birley pete port direct,1,security
horizon update east west network security policy horizon update east west network security policy patch set updates ingress network security policy horizon service change id iabeefabcbddeddc,4,documentation
add missing security context keystone pods containers implement helm toolkit snippet keystone pods containers updates keystone chart include pod security context pod template also adds container security context set readonlyrootfilesystem flag true change id iefadcaaacaafdedfbdf,1,security
add missing security context mini mirror test pods containers add missing security context mini mirror test pods containers updates mini mirror chart include pod security context pod template also adds container security context set readonlyrootfilesystem flag true change id iabaabaceadfdecccc,1,security
enable setting default rules default security group enable setting default rules default security group current implementation default security group contains rule allow intercommunication vms security group however customers could confused vms use ssh rdp login provide http https service outside since security group disabled ports default resolve need allow cloud administrators set rules default security group blueprint default rules default security group docimpact change id ibcbddbaefcbebce,2,performance
testing rst misses step adding security rule testing rst misses step adding security rule change id idbeaabddaeedfbdacac closes bug,7,documentation
test security groups test security groups install ovs kernel module source turn sec group tests change id iecbfbacffbadaafe,0,documentation
add ossn security groups work vip ovs plugin add ossn security groups work vip ovs plugin closes bug change id iffdeceaaedcafee,0,documentation
add security groups dscp spec add security groups dscp spec adds spec add dscp field security group rules screen ingress traffic dscp tag well ip address mitaka specs directory start community discussion closes bug change id iaafdbacfafffacdedfd,0,documentation
open vswitch based security groups ovs firewalldriver open vswitch based security groups ovs firewalldriver specification implementing open vswitch based security groups change id idefeaefdaeeeda,0,documentation
add security groups nova add security groups nova current implementation puppet nova realize nova security groups nova security group type provider implemented nova security rule type provider implemented also new openstack nova security class added implements base functionality security groups fuel change id iccfcebebfbdfdcd closes bug,0,documentation
add security libvirtd add security libvirtd allow libvirt accessed management network change id ieaeeeccfebfd closes bug,7,documentation
add security libvirtd add security libvirtd allow libvirt accessed management network change id ieaeeeccfebfd closes bug,7,documentation
add security libvirtd add security libvirtd allow libvirt accessed management network change id ieaeeeccfebfd closes bug,7,documentation
use fanout rpc message nofity security group change use fanout rpc message nofity security group change security group members rules change notify l agents security groups member updated security groups rule updated related l agents need get security group details rpc neutron server number l agents large load neutron server heavy patch use fanout rpc message changed sg details notify l agents l agents related devices update sg information memory need get sg details rpc change id iecaafecfaccefee,2,performance
